iin_isam_id,logical_group,post_identifier,process_id,ticket_id,pending,naked,acked_with_failures
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,1543,1,9,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,1543,1,7,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,1544,2,9,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,2083,3,5,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,2083,3,5,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,2084,4,5,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,2962,1,8,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,2963,2,4,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,3242,3,8,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,3243,4,11,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,3364,2,2,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,3865,3,2,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,3865,3,2,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,4951,2,18,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,4951,2,18,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,4952,3,18,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,4953,4,21,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,4953,4,21,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,4954,5,11,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,4970,6,11,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,4971,7,11,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,4971,7,11,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,6355,1,31,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,6355,1,31,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,6356,2,31,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,6357,3,31,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,6357,3,31,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,6358,4,31,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,6359,5,31,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,6359,5,31,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,6360,6,31,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,6361,7,21,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,6361,7,21,0,0
6335970A700064,WC - Worldline TVM - Group 1,000326-006560,6362,8,31,0,0
6335970A700065,WC - Worldline TVM - Group 1,000326-002968,6362,8,31,0,0
6335970A700063,WC - Cubic ATG - Group 1,Rambus ,6363,9,51,0,0
